#input=PHENOTYPE
name	dbId	dataset_name	dataset_version	license_name	location_name	treatments_description	year	1000 Spine Weight [kg]	Diastatic power	Dry mass percent [pct]	Cactuar age [mfn]	Areoles frequency	Boiling water resistance factor	Cactuar size [m]	Crassulacean acid metabolism stem	Crassulacean acid metabolism spike	Cactuar virus x [sg]
CACTUAR-1	1	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2000	55.0011	97.52	95.733	182.6	99	353.331	0	1.925	1.595	
CACTUAR-1	1	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2001	59.202		94.8222	179.3			5			
CACTUAR-1	1	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2000			95.9937				0			
CACTUAR-1	1	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2001			96.7285	170.5			2.75			
CACTUAR-2	2	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2001	61.292	95.7	95.3535	187	99	348.7	0	2.013	1.837	
CACTUAR-2	2	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2002			95.3601	182.6			0			
CACTUAR-2	2	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2001			78.3486				0			
CACTUAR-2	2	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2002			95.0741	189.2			0			7.15
CACTUAR-3	3	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2003	35.802	91		332.2	98.6	347.6	0	2.288	2.222	
CACTUAR-3	3	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2003				332.2			0			8.1587
CACTUAR-4	4	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2003	57.8765	99.9	98.4841	178.2	99	352	12.8337	1.936	1.859	
CACTUAR-4	4	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2003			95.4228	170.5			0			46.583
CACTUAR-6	6	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	1998				358.6			8.4337			
CACTUAR-6	6	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	1999				331.1			0			
CACTUAR-6	6	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	1998							9			3
CACTUAR-6	6	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	1999				331.1			2.75			7.625
CACTUAR-7	7	Sample Trials Data	1	CC-BY-SA	Dundee		2003							0			
CACTUAR-7	7	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2001			96.5162	187			0.0363			
CACTUAR-7	7	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2002	48.701		96.1719	180.4			0			
CACTUAR-7	7	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2003			98.1266	177.1			50			
CACTUAR-7	7	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2001			96.0157				0			
CACTUAR-7	7	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2002			95.0862	189.2			0			1.375
CACTUAR-7	7	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2003			95.832	183.7			16.667			1
CACTUAR-9	9	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	1994										
CACTUAR-9	9	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	1995	63.888			344.3		335.643	0	1.892		
CACTUAR-9	9	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	1994	51.21			337.7		335.61	0	2.068		5.5
CACTUAR-9	9	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	1995				328.9			0			1
CACTUAR-10	10	Sample Trials Data	1	CC-BY-SA	Dundee		2002							0			
CACTUAR-10	10	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2000	53.5711	97.9	97.46	182.6	98	345.95	0	1.727	1.54	
CACTUAR-10	10	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2001	57.2	89.1	95.4393	187	98	340.307	0.3663	1.881	1.925	
CACTUAR-10	10	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2002			97.515	244.2			9			
CACTUAR-10	10	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2000			95.9266				0			
CACTUAR-10	10	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2001			95.5779	180.4			0			
CACTUAR-10	10	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2002			96.668	222			0			4.33
CACTUAR-11	11	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2002	56.76	99		328.9	99	334.4	0	1.936	1.881	
CACTUAR-11	11	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2003	34.34			332.2			0.667			
CACTUAR-11	11	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2002				297			13.75			6.6
CACTUAR-11	11	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2003				346.5			3.6663			0.1
CACTUAR-13	13	Sample Trials Data	1	CC-BY-SA	Dundee		2002							0			
CACTUAR-13	13	Sample Trials Data	1	CC-BY-SA	Dundee		2003							6.5			
CACTUAR-13	13	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2000	65.2	80.3	95.2281	188.1	97	355.971	0	1.749	1.705	
CACTUAR-13	13	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2001	59.51	95.7	94.7881	187	99.2	357.17	2.25	2.057	1.79	
CACTUAR-13	13	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2002	35.19	94.6	95.81	222	99	349.8	3.3	2.145	2.002	
CACTUAR-13	13	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2003			98.0551	183.7			78.65			
CACTUAR-13	13	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2000			91.3726				0			
CACTUAR-13	13	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2001			96.1268	187			0			
CACTUAR-13	13	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2002			95.403	222			0			5.33
CACTUAR-13	13	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2003			95.7649	167			9			3
CACTUAR-14	14	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2001	60.269	98	95.2908	187	97.5	346.5	0	2.123	1.815	
CACTUAR-14	14	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2002			96.0168	174.9			0			
CACTUAR-14	14	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2001			77.6709				0			
CACTUAR-14	14	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2002			94.9938	174.9			2.75			20.9
CACTUAR-15	15	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2003	38.8025	96.8		333.3	99	339.9	0	2.079	1.969	
CACTUAR-15	15	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2003				333.3			5			2.345
CACTUAR-16	16	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2003	53.9495	94.5	98.8746	171.6	99	350.68	29.3337	2.09	1.969	
CACTUAR-16	16	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2003			95.2798	178.2			0.45			46.9337
CACTUAR-18	18	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	1998				333.3			9.6003			
CACTUAR-18	18	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	1999				331.1			2.75			
CACTUAR-18	18	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2000	53.1245			346.5			15.4			
CACTUAR-18	18	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	1998							97.5			6.6
CACTUAR-18	18	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	1999				324.5			75			9.375
CACTUAR-18	18	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2000	42.849			350.9			90.75			2.75
CACTUAR-19	19	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2002				349.8			0			
CACTUAR-19	19	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2003	43.265			346.5			0			
CACTUAR-19	19	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2002				297			36.6663			14.5
CACTUAR-19	19	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2003				346.5			0.667			0.055
CACTUAR-20	20	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2002				328.9			0			
CACTUAR-20	20	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2003	32.47			329.2663			0.7337			
CACTUAR-20	20	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2002				297			0			14.5
CACTUAR-20	20	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2003				333.3			1.667			0.55
CACTUAR-21	21	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	1996	54.329	108.9		333.3		338.745	5	2.255	1.683	
CACTUAR-21	21	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	1997	54.637			334.4	99.88	342.804	9	2.431	2.508	
CACTUAR-21	21	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	1998	50.567			335.5			88			
CACTUAR-21	21	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	1996							71.5			24
CACTUAR-21	21	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	1997				328.9			96.25			7.15
CACTUAR-21	21	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	1998				357.5			93.5			7.15
CACTUAR-22	22	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2000	48.301	89.1	97.2301	188.1	99	348.315	0	1.903	1.65	
CACTUAR-22	22	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2001	53.46	145.794	95.3062	180.4		342.617	0		1.87	
CACTUAR-22	22	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2000			95.1632				0			
CACTUAR-22	22	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2001			94.4361	187			0			
CACTUAR-25	25	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2000	61.072	82.5	97.1971	188.1	90	349.8	0	1.98	1.65	
CACTUAR-25	25	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2001	64.46	92.19	97.009	187		337.403	0		1.936	
CACTUAR-25	25	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2000			91.7037				0			
CACTUAR-25	25	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2001			95.1478	180.4			0.0363			
CACTUAR-26	26	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2002	42.5	92.7		328.9	97.02	346.5	29.3337	1.98	2.013	
CACTUAR-26	26	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2003	33.099			333.3			0.6003			
CACTUAR-26	26	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2002				326.7			63.333			14.5
CACTUAR-26	26	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2003				346.5			1.8337			3.15
CACTUAR-27	27	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2003	43.8515			332.2			0			
CACTUAR-27	27	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2003				333.3			0			6.8871
CACTUAR-28	28	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2003	55.726	97	98.8944	176	99.1	357.5	12.8337	1.991	1.892	
CACTUAR-28	28	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2003			97.1663	178.2			5			42.625
CACTUAR-30	30	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	1998	56.7611	99.9	98.2454	194.7	92	349.085	3.4	2.189	1.65	
CACTUAR-30	30	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	1999	53.601		89.8436	161		342.881	0	1.892		
CACTUAR-30	30	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	1998							0			
CACTUAR-30	30	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	1999			99.2002	177.1			0			
CACTUAR-31	31	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2002	50.7111	99	97.1025	187	99	351.56	0	2.277	1.773	
CACTUAR-31	31	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2003	51.051		98.89	176			66			
CACTUAR-31	31	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2002			95.1599	163			0			1.5
CACTUAR-31	31	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2003			98.7019	178.2			3.3			23.083
CACTUAR-33	33	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	1996	37.901			333.3			9			
CACTUAR-33	33	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	1997	44.601			337.7			12.375			
CACTUAR-33	33	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	1996							49.5			3.3
CACTUAR-33	33	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	1997				349.8			88			8.25
CACTUAR-37	37	Sample Trials Data	1	CC-BY-SA	Dundee		2003							9			
CACTUAR-37	37	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2001				341			5.5			
CACTUAR-37	37	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2002				349.8			0			
CACTUAR-37	37	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2003				357.5			6.667			
CACTUAR-37	37	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2001							0			2.25
CACTUAR-37	37	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2002				328.9			55			21.6337
CACTUAR-37	37	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2003				341			0			6.9663
CACTUAR-38	38	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2002				326.7			0			
CACTUAR-38	38	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2003	41.6075			346.5			0			
CACTUAR-38	38	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2002				297			1.5			9.9
CACTUAR-38	38	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2003				346.5			3.6663			6.261
CACTUAR-39	39	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2003	42.262			332.2			3.6663			
CACTUAR-39	39	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2003				332.2			6.05			0.0374
CACTUAR-42	42	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	1999	60.6111			316.8			0			
CACTUAR-42	42	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2000	58.256	88.2		346.5	96.8	340.637	22	2.035	2.002	
CACTUAR-42	42	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2001	63.789			358.6			3.6663			
CACTUAR-42	42	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	1999							22			0.11
CACTUAR-42	42	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2000	37.653			316.8			7.5			2.5
CACTUAR-42	42	Sample Trials Data	1	CC-BY-SA	Dundee	Sprinkled with magic dust	2001	59.28			358.6			4.5			0.167
CACTUAR-43	43	Sample Trials Data	1	CC-BY-SA	Dundee	Untreated	2003	38.335			333.3			0			
