#input=PHENOTYPE
name	dbId	dataset_name	license_name	location_name	treatments_description	year	Ear height [cm]	Ear width [cm]
CACTUAR-1	1	Sample Phenotype Data	CC-BY-SA				165.0282	
CACTUAR-1	1	Sample Phenotype Data	CC-BY-SA		Untreated		166.1019	
CACTUAR-1	1	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		72.9054	4.7386
CACTUAR-2	2	Sample Phenotype Data	CC-BY-SA				170.8301	4.8418
CACTUAR-2	2	Sample Phenotype Data	CC-BY-SA		Untreated			
CACTUAR-2	2	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust			
CACTUAR-3	3	Sample Phenotype Data	CC-BY-SA				89.3501	4.6071
CACTUAR-3	3	Sample Phenotype Data	CC-BY-SA		Untreated		165.9918	4.8861
CACTUAR-3	3	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		137.2663	4.4828
CACTUAR-4	4	Sample Phenotype Data	CC-BY-SA				153.4435	4.8067
CACTUAR-4	4	Sample Phenotype Data	CC-BY-SA		Untreated		183.7462	4.602
CACTUAR-4	4	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		52.9659	
CACTUAR-5	5	Sample Phenotype Data	CC-BY-SA				162.3354	
CACTUAR-5	5	Sample Phenotype Data	CC-BY-SA		Untreated		147.4023	4.7528
CACTUAR-5	5	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		62.9495	
CACTUAR-6	6	Sample Phenotype Data	CC-BY-SA				157.9056	4.6094
CACTUAR-6	6	Sample Phenotype Data	CC-BY-SA		Untreated			4.9534
CACTUAR-6	6	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		60.7401	4.4218
CACTUAR-7	7	Sample Phenotype Data	CC-BY-SA				159.6043	4.5182
CACTUAR-7	7	Sample Phenotype Data	CC-BY-SA		Untreated		217.2438	4.4236
CACTUAR-7	7	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		67.7931	
CACTUAR-8	8	Sample Phenotype Data	CC-BY-SA				150.4108	
CACTUAR-8	8	Sample Phenotype Data	CC-BY-SA		Untreated		133.1737	4.4169
CACTUAR-8	8	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		54.5867	4.6951
CACTUAR-9	9	Sample Phenotype Data	CC-BY-SA				152.9485	4.9241
CACTUAR-9	9	Sample Phenotype Data	CC-BY-SA		Untreated		188.8107	4.7384
CACTUAR-9	9	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		63.3502	
CACTUAR-10	10	Sample Phenotype Data	CC-BY-SA				163.6007	
CACTUAR-10	10	Sample Phenotype Data	CC-BY-SA		Untreated		177.5092	4.5556
CACTUAR-10	10	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		133.1827	4.3605
CACTUAR-11	11	Sample Phenotype Data	CC-BY-SA				153.1764	
CACTUAR-11	11	Sample Phenotype Data	CC-BY-SA		Untreated		170.1467	4.0623
CACTUAR-11	11	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		123.8404	4.6816
CACTUAR-12	12	Sample Phenotype Data	CC-BY-SA				179.2918	
CACTUAR-12	12	Sample Phenotype Data	CC-BY-SA		Untreated		145.3637	4.7437
CACTUAR-12	12	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		48.6147	4.5598
CACTUAR-13	13	Sample Phenotype Data	CC-BY-SA				162.5382	
CACTUAR-13	13	Sample Phenotype Data	CC-BY-SA		Untreated		150.4564	4.4859
CACTUAR-13	13	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		76.3624	4.6435
CACTUAR-14	14	Sample Phenotype Data	CC-BY-SA				173.0938	4.7227
CACTUAR-14	14	Sample Phenotype Data	CC-BY-SA		Untreated			4.6727
CACTUAR-14	14	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		69.056	
CACTUAR-15	15	Sample Phenotype Data	CC-BY-SA				150.2984	
CACTUAR-15	15	Sample Phenotype Data	CC-BY-SA		Untreated		191.0909	
CACTUAR-15	15	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		61.1559	
CACTUAR-16	16	Sample Phenotype Data	CC-BY-SA				160.3378	4.2571
CACTUAR-16	16	Sample Phenotype Data	CC-BY-SA		Untreated		162.1886	4.3457
CACTUAR-16	16	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		122.6654	4.7835
CACTUAR-17	17	Sample Phenotype Data	CC-BY-SA				151.4927	
CACTUAR-17	17	Sample Phenotype Data	CC-BY-SA		Untreated		168.1788	5.0618
CACTUAR-17	17	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		51.9784	
CACTUAR-18	18	Sample Phenotype Data	CC-BY-SA				97.0089	
CACTUAR-18	18	Sample Phenotype Data	CC-BY-SA		Untreated		200.7799	4.1276
CACTUAR-18	18	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		70.9019	4.3701
CACTUAR-19	19	Sample Phenotype Data	CC-BY-SA				162.5694	
CACTUAR-19	19	Sample Phenotype Data	CC-BY-SA		Untreated			4.7608
CACTUAR-19	19	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		48.7257	
CACTUAR-20	20	Sample Phenotype Data	CC-BY-SA				171.2755	
CACTUAR-20	20	Sample Phenotype Data	CC-BY-SA		Untreated		153.0143	4.0149
CACTUAR-20	20	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		57.2019	
CACTUAR-21	21	Sample Phenotype Data	CC-BY-SA				162.2864	
CACTUAR-21	21	Sample Phenotype Data	CC-BY-SA		Untreated		159.5853	
CACTUAR-21	21	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		44.2516	
CACTUAR-22	22	Sample Phenotype Data	CC-BY-SA				151.4002	
CACTUAR-22	22	Sample Phenotype Data	CC-BY-SA		Untreated		177.3388	
CACTUAR-22	22	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		60.4599	4.5581
CACTUAR-23	23	Sample Phenotype Data	CC-BY-SA				158.4545	
CACTUAR-23	23	Sample Phenotype Data	CC-BY-SA		Untreated		173.5751	
CACTUAR-23	23	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		62.8543	
CACTUAR-24	24	Sample Phenotype Data	CC-BY-SA				165.3706	
CACTUAR-24	24	Sample Phenotype Data	CC-BY-SA		Untreated		149.4285	4.3425
CACTUAR-24	24	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		137.9407	4.4017
CACTUAR-25	25	Sample Phenotype Data	CC-BY-SA				170.9458	4.7375
CACTUAR-25	25	Sample Phenotype Data	CC-BY-SA		Untreated		142.7463	4.8396
CACTUAR-25	25	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		115.3186	
CACTUAR-26	26	Sample Phenotype Data	CC-BY-SA				153.696	
CACTUAR-26	26	Sample Phenotype Data	CC-BY-SA		Untreated		161.6045	
CACTUAR-26	26	Sample Phenotype Data	CC-BY-SA		Sprinkled with magic dust		63.1674	
CACTUAR-27	27	Sample Phenotype Data	CC-BY-SA				161.4323	4.4871
